text,label,split,label_text
buatku pengiriman normal tidak cepat tidak lambat buat pemakaian harian menurutku,1,train,neutral
hasilnya tidak buruk tidak istimewa untuk harga segini ya,1,train,neutral
menurutku tidak recommended sih,0,train,negative
jujur ya packaging rapi dan aman dari segi fitur buatku,2,train,positive
kalau dari pengalamanku harga sesuai kualitas untuk harga segini ya,2,train,positive
jujur ya servis cepat dan memuaskan dari pengalaman pertama menurutku,2,train,positive
buatku kualitasnya lumayan dari pengalaman pertama,1,train,neutral
jujur ya kwalitasnya buruk dari segi fitur menurutku,0,train,negative
jujur ya saya suka hasilnya untuk harga segini,2,train,positive
buatku kualitasnya lumayan sih,1,train,neutral
menurutku gak recommended buat pemakaian harian banget,0,train,negative
menurutku dipakai harian tetap nyaman buat pemakaian harian menurutku,2,train,positive
fiturnya beneran membantu buat pemakaian harian buatku,2,train,positive
jujur ya pengalaman saya biasa saja dari pengalaman pertama buatku...,1,train,neutral
menurutku kualitasnya lumayan untuk harga segini buatku,1,train,neutral
kalau dari pengalamanku harga ga sebanding buat pemakaian harian menurutku,0,train,negative
review singkat pengalaman saya biasa saja dari segi fitur,1,train,neutral
jujur ya fiturnya sangat membantu dari segi fitur,2,train,positive
buatku tidak recommended dari segi fitur ya,0,train,negative
packaging rapi dan aman dari pengalaman pertama,2,train,positive
menurutku produk ini sangat bagus ya.,2,train,positive
buatku pelayanan sangat lambat dari segi fitur banget,0,train,negative
menurutku dipakai harian tetap nyaman ya,2,train,positive
kalau dari pengalamanku harga tidak sebanding banget,0,train,negative
jujur ya ga recommended untuk harga segini menurutku,0,train,negative
jujur ya dipakai harian tetap nyaman banget,2,train,positive
dipakai sebentar langsung bermasalah ya,0,train,negative
kalau dari pengalamanku worth it bnget buat dibeli buat pemakaian harian,2,train,positive
review singkat fiturnya jalan sesuai deskripsi buat pemakaian harian banget,1,train,neutral
jujur ya pengalaman saya biasa saja buat pemakaian harian bnget,1,train,neutral
review singkat harga masih oke dari pengalaman pertama banget,1,train,neutral
review singkat servis cepat dan memuaskan buatku,2,train,positive
review singkat packaging rusak waktu sampai dari pengalaman pertama banget...,0,train,negative
jujur ya pengiriman normal tidak cepat tidak lambat buatku,1,train,neutral
jujur ya adminnya susah dihubungi buat pemakaian harian sih,0,train,negative
pengalaman saya biasa saja buat pemakaian harian banget,1,train,neutral
kalau dari pengalamanku dipakai sebentar langsung bermasalah dari segi fitur buatku,0,train,negative
jujur ya dipakai harian tetap nyaman buat pemakaian harian menurutku,2,train,positive
kalau dari pengalamanku saya tidak puas untuk harga segini menurutku,0,train,negative
review singkat sejauh ini aman tapi belum spesial menurutku.,1,train,neutral
buatku sejauh ini aman tapi belum spesial buat pemakaian harian ya,1,train,neutral
review singkat fiturnya sangat membantu buat pemakaian harian!,2,train,positive
kalau dari pengalamanku produk ini standar ya...,1,train,neutral
harga sesuai kualitas dari segi fitur bgt,2,train,positive
jujur ya servis cukup biasa dari segi fitur buatku,1,train,neutral
jujur ya kwalitasnya buruk,0,train,negative
menurutku kwalitasnya buruk untuk harga segini,0,train,negative
menurutku pelayanan cukup biasa untuk harga segini bgt,1,train,neutral
jujur ya saya nggak puas dari segi fitur ya,0,train,negative
kalau dari pengalamanku produk ini standar dari pengalaman pertama ya,1,train,neutral
review singkat sejauh ini aman tapi belum spesial buat pemakaian harian menurutku,1,train,neutral
dipakai sebentar langsung bermasalah dari segi fitur banget,0,train,negative
menurutku kualitasnya lumayan dari segi fitur sih,1,train,neutral
menurutku packaging rusak waktu sampai,0,train,negative
packaging rapi dan aman dari segi fitur menurutku,2,train,positive
fiturnya sering error buat pemakaian harian,0,train,negative
kualitasnya buruk buatku,0,train,negative
buatku overall masih oke untuk harga segini dari pengalaman pertama sih...,1,train,neutral
menurutku fiturnya sangat membantu untuk harga segini menurutku,2,train,positive
menurutku fiturnya sering error untuk harga segini!,0,train,negative
buatku fiturnya sangat membantu untuk harga segini banget...,2,train,positive
jujur ya fiturnya cukup membantu untuk harga segini ya,1,train,neutral
kalau dari pengalamanku kualitasnya lumayan menurutku,1,train,neutral
review singkat adminnya responsif dan ramah.,2,train,positive
buatku worth it banget buat dibeli untuk harga segini banget...,2,train,positive
kalau dari pengalamanku saya suka hasilnya dari segi fitur menurutku,2,train,positive
jujur ya adminnya responsif dan ramah dari segi fitur buatku,2,train,positive
jujur ya hasilnya tidak buruk tidak istimewa dari pengalaman pertama menurutku,1,train,neutral
jujur ya tidak recommended dari segi fitur menurutku,0,train,negative
menurutku harga gak sebanding untuk harga segini bgt,0,train,negative
menurutku harga sesuai kualitas dari pengalaman pertama sih,2,train,positive
menurutku overall masih oke untuk harga segini menurutku,1,train,neutral
review singkat packaging rusak waktu sampai untuk harga segini ya,0,train,negative
review singkat fiturnya sering error dari pengalaman pertama,0,train,negative
menurutku packaging rapi dan aman ya,2,train,positive
jujur ya saya tidak puas untuk harga segini ya,0,train,negative
produk ini mengecewakan buat pemakaian harian menurutku,0,train,negative
kalau dari pengalamanku packaging rusak waktu sampai untuk harga segini ya,0,train,negative
fiturnya cukup membantu bgt,1,train,neutral
buatku dipakai harian tetap nyaman untuk harga segini buatku,2,train,positive
buatku harga masih oke sih,1,train,neutral
review singkat produk ini mengecewakan buat pemakaian harian sih,0,train,negative
menurutku pelayanan sangat lambat buat pemakaian harian ya,0,train,negative
buatku harga sesuai kualitas dari segi fitur,2,train,positive
buatku worth it banget buat dibeli dari pengalaman pertama buatku,2,train,positive
menurutku barang ini sangat bagus untuk harga segini,2,train,positive
kalau dari pengalamanku fiturnya jalan sesuai deskripsi dari segi fitur,1,train,neutral
kalau dari pengalamanku produk ini beneran bagus dari segi fitur buatku,2,train,positive
review singkat adminnya susah dihubungi dari pengalaman pertama,0,train,negative
kalau dari pengalamanku harga tidak sebanding ya,0,train,negative
jujur ya barang datang dalam kondisi jelek dari segi fitur,0,train,negative
buatku saya suka hasilnya dari pengalaman pertama bgt,2,train,positive
recommended banget untuk harga segini menurutku...,2,train,positive
overall masih oke untuk harga segini dari pengalaman pertama,1,train,neutral
jujur ya delivery tepat waktu menurutku,2,train,positive
buatku packaging rapi dan aman untuk harga segini ya,2,train,positive
jujur ya fiturnya cukup membantu dari pengalaman pertama buatku,1,train,neutral
review singkat sejauh ini aman tapi belum spesial sih,1,train,neutral
buatku worth it banget buat dibeli,2,train,positive
sejauh ini aman tapi belum spesial,1,train,neutral
buatku barang datang dalam kondisi jelek dari segi fitur banget,0,train,negative
review singkat fiturnya sangat membantu dari pengalaman pertama sih,2,train,positive
buatku saya suka hasilnya dari segi fitur buatku!,2,train,positive
menurutku recommended bnget untuk harga segini menurutku,2,train,positive
jujur ya saya nggak puas untuk harga segini buatku!,0,train,negative
jujur ya kualitasnya buruk dari pengalaman pertama sih,0,train,negative
kalau dari pengalamanku fiturnya sering error buat pemakaian harian buatku,0,train,negative
fiturnya sering error untuk harga segini banget,0,train,negative
kualitasnya lumayan untuk harga segini ya,1,train,neutral
kalau dari pengalamanku kualitasnya buruk sih...,0,train,negative
pelayanan cukup biasa dari segi fitur buatku,1,train,neutral
kalau dari pengalamanku saya suka hasilnya menurutku!,2,train,positive
review singkat kualitasnya buruk buat pemakaian harian,0,train,negative
menurutku fiturnya beneran membantu untuk harga segini menurutku,2,train,positive
review singkat kualitasnya buruk dari pengalaman pertama ya...,0,train,negative
buatku fiturnya sering error dari segi fitur sih,0,train,negative
review singkat sejauh ini aman tapi belum spesial untuk harga segini menurutku...,1,train,neutral
kalau dari pengalamanku produk ini standar buat pemakaian harian ya,1,train,neutral
kalau dari pengalamanku tidak recommended dari pengalaman pertama ya,0,train,negative
kualitasnya lumayan untuk harga segini sih,1,train,neutral
menurutku recommended banget banget,2,train,positive
menurutku servis beneran lambat ya,0,train,negative
worth it banget buat dibeli dari pengalaman pertama ya,2,train,positive
review singkat pengiriman sesuai estimasi dari pengalaman pertama!,1,train,neutral
menurutku packaging rapi dan aman untuk harga segini bnget,2,train,positive
review singkat worth it banget buat dibeli untuk harga segini menurutku...,2,train,positive
menurutku pelayanan sangat lambat buat pemakaian harian banget,0,train,negative
jujur ya pengiriman tepat waktu dari segi fitur,2,train,positive
jujur ya sejauh ini aman tapi belum spesial buat pemakaian harian banget,1,train,neutral
jujur ya barang ini mengecewakan untuk harga segini buatku,0,train,negative
jujur ya hasilnya ga buruk tidak istimewa untuk harga segini buatku,1,train,neutral
kalau dari pengalamanku worth it banget buat dibeli sih,2,train,positive
buatku pengiriman tepat waktu buat pemakaian harian buatku,2,train,positive
pengiriman normal tidak cepat tidak lambat buat pemakaian harian ya,1,train,neutral
review singkat packaging rusak waktu sampai untuk harga segini ya,0,train,negative
packaging rapi dan aman dari segi fitur,2,train,positive
menurutku delivery tepat waktu,2,train,positive
menurutku dipakai sebentar langsung bermasalah untuk harga segini sih,0,train,negative
jujur ya pengiriman sesuai estimasi buat pemakaian harian sih,1,train,neutral
review singkat fiturnya sangat membantu banget,2,train,positive
jujur ya pelayanan cukup biasa dari segi fitur banget,1,train,neutral
dipakai sebentar langsung bermasalah untuk harga segini ya,0,train,negative
worth it bgt buat dibeli buat pemakaian harian,2,train,positive
review singkat produk ini sangat bagus dari segi fitur menurutku,2,train,positive
review singkat saya tidak puas dari segi fitur sih!,0,train,negative
menurutku nggak recommended menurutku,0,train,negative
menurutku saya suka hasilnya buatku!,2,train,positive
menurutku pengiriman sesuai estimasi untuk harga segini buatku,1,train,neutral
kalau dari pengalamanku dipakai harian tetap nyaman dari pengalaman pertama ya,2,train,positive
review singkat harga masih oke banget,1,train,neutral
kalau dari pengalamanku harga masih oke untuk harga segini buatku,1,train,neutral
jujur ya harga tidak sebanding dari segi fitur menurutku,0,train,negative
review singkat sejauh ini aman tapi belum spesial ya!,1,train,neutral
buatku packaging rusak waktu sampai buat pemakaian harian sih,0,train,negative
buatku hasilnya gak buruk tidak istimewa dari pengalaman pertama,1,train,neutral
buatku harga masih oke untuk harga segini sih,1,train,neutral
menurutku pengiriman terlambat dari pengalaman pertama ya...,0,train,negative
kalau dari pengalamanku harga ga sebanding untuk harga segini sih,0,train,negative
review singkat barang datang dalam kondisi jelek dari pengalaman pertama menurutku...,0,train,negative
review singkat harga masih oke untuk harga segini sih,1,train,neutral
kalau dari pengalamanku harga sesuai kualitas dari segi fitur menurutku,2,train,positive
menurutku fiturnya sering error untuk harga segini sih...,0,train,negative
kalau dari pengalamanku pengiriman tepat waktu dari segi fitur menurutku,2,train,positive
menurutku saya suka hasilnya dari pengalaman pertama,2,train,positive
menurutku recommended banget untuk harga segini menurutku,2,train,positive
pengiriman terlambat dari segi fitur,0,train,negative
menurutku pengalaman saya biasa saja dari pengalaman pertama ya,1,train,neutral
kalau dari pengalamanku dipakai harian tetap nyaman dari segi fitur banget,2,train,positive
jujur ya harga sesuai kualitas dari segi fitur ya,2,train,positive
buatku packaging rapi dan aman dari segi fitur,2,train,positive
kalau dari pengalamanku servis cukup biasa dari pengalaman pertama ya,1,train,neutral
jujur ya harga tidak sebanding dari segi fitur menurutku,0,train,negative
review singkat pengiriman terlambat ya.,0,train,negative
buatku pengiriman sesuai estimasi untuk harga segini menurutku,1,train,neutral
kalau dari pengalamanku packaging rusak waktu sampai dari segi fitur buatku,0,train,negative
buatku packaging rapi dan aman dari pengalaman pertama buatku,2,train,positive
kalau dari pengalamanku worth it banget buat dibeli dari segi fitur ya!,2,train,positive
kalau dari pengalamanku fiturnya sangat membantu dari pengalaman pertama ya,2,train,positive
menurutku packaging rusak waktu sampai buat pemakaian harian buatku,0,train,negative
jujur ya adminnya responsif dan ramah dari segi fitur menurutku,2,train,positive
barang ini standar untuk harga segini menurutku,1,train,neutral
buatku overall masih oke untuk harga segini untuk harga segini buatku,1,train,neutral
buatku fiturnya sering error dari pengalaman pertama,0,train,negative
buatku sejauh ini aman tapi belum spesial buat pemakaian harian menurutku,1,train,neutral
kalau dari pengalamanku adminnya responsif dan ramah dari segi fitur ya,2,train,positive
jujur ya produk ini standar dari pengalaman pertama ya,1,train,neutral
review singkat packaging rusak waktu sampai sih,0,train,negative
dipakai sebentar langsung bermasalah untuk harga segini ya,0,train,negative
sejauh ini aman tapi belum spesial buat pemakaian harian buatku,1,train,neutral
menurutku pengalaman saya biasa saja untuk harga segini menurutku,1,train,neutral
menurutku barang datang dalam kondisi jelek dari pengalaman pertama,0,train,negative
kalau dari pengalamanku fiturnya sering error untuk harga segini sih,0,train,negative
review singkat packaging rusak waktu sampai dari segi fitur,0,train,negative
review singkat barang datang dalam kondisi jelek buatku,0,train,negative
sejauh ini aman tapi belum spesial untuk harga segini menurutku,1,train,neutral
jujur ya fiturnya cukup membantu buat pemakaian harian sih,1,train,neutral
buatku fiturnya jalan sesuai deskripsi dari pengalaman pertama,1,train,neutral
buatku harga sesuai kualitas dari segi fitur menurutku,2,train,positive
menurutku barang ini standar dari segi fitur sih.,1,train,neutral
jujur ya sejauh ini aman tapi belum spesial dari segi fitur menurutku,1,train,neutral
menurutku produk ini mengecewakan buat pemakaian harian ya,0,train,negative
menurutku saya gak puas dari segi fitur,0,train,negative
review singkat harga tidak sebanding dari pengalaman pertama ya,0,train,negative
buatku fiturnya sangat membantu dari segi fitur ya,2,train,positive
menurutku produk ini sangat bagus untuk harga segini buatku,2,train,positive
menurutku kualitasnya lumayan buat pemakaian harian,1,train,neutral
buatku barang ini standar dari segi fitur.,1,train,neutral
harga sesuai kualitas dari segi fitur menurutku.,2,train,positive
review singkat produk ini standar buatku,1,train,neutral
kalau dari pengalamanku pengiriman tepat waktu dari pengalaman pertama buatku,2,train,positive
dipakai harian tetap nyaman dari pengalaman pertama menurutku!,2,train,positive
review singkat fiturnya sangat membantu,2,train,positive
kalau dari pengalamanku barang ini mengecewakan dari segi fitur,0,train,negative
review singkat worth it banget buat dibeli ya.,2,train,positive
review singkat worth it bgt buat dibeli buat pemakaian harian menurutku,2,train,positive
pelayanan cepat dan memuaskan buat pemakaian harian sih,2,train,positive
kalau dari pengalamanku fiturnya cukup membantu buat pemakaian harian buatku.,1,train,neutral
review singkat harga sesuai kwalitas dari pengalaman pertama ya,2,train,positive
jujur ya kualitasnya buruk ya,0,train,negative
jujur ya produk ini sangat bagus banget,2,train,positive
harga sesuai kualitas dari segi fitur,2,train,positive
jujur ya dipakai sebentar langsung bermasalah dari segi fitur sih...,0,train,negative
menurutku barang datang dalam kondisi jelek banget,0,train,negative
kalau dari pengalamanku harga sesuai kualitas buat pemakaian harian buatku,2,train,positive
jujur ya barang datang dalam kondisi jelek untuk harga segini sih,0,train,negative
review singkat adminnya susah dihubungi dari pengalaman pertama buatku,0,train,negative
buatku kualitasnya mantap sih,2,train,positive
pelayanannya cepat dan memuaskan untuk harga segini buatku,2,train,positive
kalau dari pengalamanku pengiriman terlambat untuk harga segini buatku,0,train,negative
review singkat tidak recommended bnget,0,train,negative
jujur ya fiturnya sangat membantu ya,2,train,positive
dipakai sebentar langsung bermasalah dari segi fitur ya...,0,train,negative
kalau dari pengalamanku hasilnya tidak buruk tidak istimewa untuk harga segini bgt,1,train,neutral
buatku harga masih oke untuk harga segini ya,1,train,neutral
pengiriman tepat waktu menurutku,2,train,positive
menurutku adminnya susah dihubungi untuk harga segini ya.,0,train,negative
review singkat fiturnya sering error buat pemakaian harian banget...,0,train,negative
menurutku pelayanan cukup biasa dari segi fitur banget,1,train,neutral
menurutku barang ini standar dari segi fitur!,1,train,neutral
kalau dari pengalamanku worth it banget buat dibeli dari segi fitur sih,2,train,positive
kalau dari pengalamanku harga sesuai kualitas untuk harga segini menurutku.,2,train,positive
buatku pelayanan cepat dan memuaskan buat pemakaian harian ya,2,train,positive
menurutku pengiriman sesuai estimasi dari segi fitur sih,1,train,neutral
review singkat fiturnya beneran membantu dari segi fitur sih,2,train,positive
pengiriman terlambat untuk harga segini ya,0,train,negative
harga masih oke dari segi fitur.,1,train,neutral
jujur ya recommended banget buat pemakaian harian ya...,2,train,positive
kalau dari pengalamanku packaging rusak waktu sampai buat pemakaian harian ya.,0,train,negative
menurutku pengiriman tepat waktu buat pemakaian harian.,2,train,positive
jujur ya pelayanan cepat dan memuaskan untuk harga segini menurutku,2,train,positive
kalau dari pengalamanku pengalaman saya biasa saja untuk harga segini buatku,1,train,neutral
jujur ya harga tidak sebanding,0,train,negative
menurutku hasilnya ga buruk tidak istimewa ya,1,train,neutral
jujur ya barang datang dalam kondisi jelek untuk harga segini,0,train,negative
adminnya susah dihubungi buat pemakaian harian,0,train,negative
menurutku fiturnya sangat membantu buatku.,2,train,positive
kalau dari pengalamanku kualitasnya lumayan ya,1,train,neutral
jujur ya delivery sesuai estimasi dari segi fitur,1,train,neutral
buatku harga tidak sebanding menurutku.,0,train,negative
kalau dari pengalamanku packaging rusak waktu sampai buatku.,0,train,negative
buatku saya suka hasilnya menurutku,2,train,positive
review singkat adminnya responsif dan ramah dari pengalaman pertama,2,train,positive
menurutku produk ini mengecewakan untuk harga segini,0,train,negative
buatku servis cepat dan memuaskan dari pengalaman pertama sih,2,train,positive
review singkat packaging rapi dan aman untuk harga segini menurutku,2,train,positive
review singkat fiturnya sering error buatku,0,train,negative
sejauh ini aman tapi belum spesial untuk harga segini ya,1,train,neutral
review singkat pengiriman tepat waktu sih,2,train,positive
kalau dari pengalamanku adminnya responsif dan ramah ya,2,train,positive
buatku saya suka hasilnya dari segi fitur menurutku,2,train,positive
review singkat delivery normal gak cepat tidak lambat dari segi fitur banget!,1,train,neutral
review singkat packaging rapi dan aman untuk harga segini banget,2,train,positive
review singkat pengiriman terlambat buatku,0,train,negative
buatku overall masih oke untuk harga segini dari segi fitur sih!,1,train,neutral
menurutku adminnya susah dihubungi untuk harga segini ya,0,train,negative
kalau dari pengalamanku adminnya responsif dan ramah untuk harga segini sih!,2,train,positive
buatku produk ini standar menurutku.,1,train,neutral
jujur ya pengalaman saya biasa saja dari segi fitur sih!,1,train,neutral
buatku fiturnya sering error buat pemakaian harian menurutku.,0,train,negative
kalau dari pengalamanku hasilnya tidak buruk tidak istimewa buat pemakaian harian sih,1,train,neutral
buatku produk ini standar dari segi fitur banget,1,train,neutral
buatku gak recommended buat pemakaian harian menurutku,0,train,negative
fiturnya jalan sesuai deskripsi dari pengalaman pertama menurutku,1,train,neutral
buatku produk ini mengecewakan...,0,train,negative
review singkat hasilnya gak buruk tidak istimewa untuk harga segini ya!,1,train,neutral
kalau dari pengalamanku delivery terlambat dari pengalaman pertama buatku,0,train,negative
review singkat barang ini standar dari segi fitur.,1,train,neutral
jujur ya fiturnya jalan sesuai deskripsi buat pemakaian harian menurutku!,1,train,neutral
jujur ya produk ini standar untuk harga segini sih,1,train,neutral
kalau dari pengalamanku kualitasnya mantap untuk harga segini ya,2,train,positive
kalau dari pengalamanku harga masih oke dari segi fitur menurutku,1,train,neutral
overall masih oke untuk harga segini dari pengalaman pertama banget,1,train,neutral
buatku kualitasnya buruk dari pengalaman pertama sih,0,train,negative
review singkat harga masih oke dari segi fitur ya,1,train,neutral
kalau dari pengalamanku fiturnya jalan sesuai deskripsi dari segi fitur sih,1,train,neutral
kalau dari pengalamanku pengalaman saya biasa saja buat pemakaian harian buatku,1,train,neutral
jujur ya pelayanan cepat dan memuaskan untuk harga segini sih,2,train,positive
saya suka hasilnya dari pengalaman pertama sih,2,train,positive
recommended banget untuk harga segini banget,2,train,positive
buatku pengiriman terlambat dari pengalaman pertama ya,0,train,negative
kalau dari pengalamanku overall masih oke untuk harga segini sih!,1,train,neutral
kalau dari pengalamanku harga sesuai kualitas dari pengalaman pertama buatku,2,train,positive
review singkat hasilnya tidak buruk tidak istimewa dari segi fitur ya,1,train,neutral
review singkat dipakai sebentar langsung bermasalah untuk harga segini sih,0,train,negative
jujur ya pelayanan cukup biasa menurutku,1,train,neutral
pengiriman normal tidak cepat tidak lambat untuk harga segini ya,1,train,neutral
kalau dari pengalamanku dipakai sebentar langsung bermasalah untuk harga segini banget,0,train,negative
kalau dari pengalamanku fiturnya cukup membantu,1,train,neutral
recommended banget untuk harga segini buatku,2,train,positive
menurutku pengalaman saya biasa saja untuk harga segini buatku,1,train,neutral
jujur ya servis beneran lambat untuk harga segini ya,0,train,negative
buatku pelayanan sangat lambat buat pemakaian harian buatku,0,train,negative
buatku pelayanan cukup biasa buat pemakaian harian sih,1,train,neutral
review singkat adminnya responsif dan ramah dari segi fitur banget,2,train,positive
menurutku saya tidak puas ya,0,train,negative
buatku adminnya responsif dan ramah dari segi fitur menurutku.,2,train,positive
kalau dari pengalamanku recommended bgt banget.,2,train,positive
menurutku fiturnya cukup membantu dari pengalaman pertama sih,1,train,neutral
buatku pengiriman terlambat untuk harga segini ya.,0,train,negative
menurutku pengiriman normal nggak cepat tidak lambat buat pemakaian harian sih,1,train,neutral
menurutku adminnya susah dihubungi dari segi fitur banget!,0,train,negative
jujur ya recommended banget dari pengalaman pertama,2,train,positive
buatku pengiriman normal tidak cepat tidak lambat dari pengalaman pertama buatku,1,train,neutral
buatku sejauh ini aman tapi belum spesial dari segi fitur banget,1,train,neutral
jujur ya pengiriman terlambat dari segi fitur,0,train,negative
menurutku pelayanan cepat dan ok buat pemakaian harian sih,2,train,positive
kalau dari pengalamanku kualitasnya buruk dari segi fitur sih,0,train,negative
buatku pengiriman terlambat buat pemakaian harian banget...,0,train,negative
menurutku pengiriman tepat waktu sih...,2,train,positive
buatku produk ini standar dari pengalaman pertama sih,1,train,neutral
menurutku pengiriman sesuai estimasi buat pemakaian harian,1,train,neutral
harga sesuai kualitas sih...,2,train,positive
kalau dari pengalamanku recommended bnget ya,2,train,positive
sejauh ini aman tapi belum spesial dari segi fitur sih,1,train,neutral
review singkat saya suka hasilnya untuk harga segini banget,2,train,positive
buatku packaging rapi dan aman untuk harga segini buatku,2,train,positive
kalau dari pengalamanku fiturnya jalan sesuai deskripsi buat pemakaian harian buatku,1,train,neutral
review singkat saya nggak puas,0,train,negative
kalau dari pengalamanku servis cukup biasa dari pengalaman pertama ya,1,train,neutral
kalau dari pengalamanku adminnya responsif dan ramah dari pengalaman pertama banget!,2,train,positive
kwalitasnya mantap dari pengalaman pertama buatku,2,train,positive
jujur ya delivery terlambat buatku,0,train,negative
kalau dari pengalamanku delivery tepat waktu dari pengalaman pertama sih,2,train,positive
buatku harga masih oke buat pemakaian harian ya...,1,train,neutral
jujur ya kualitasnya mantap dari pengalaman pertama menurutku,2,train,positive
buatku kualitasnya buruk buat pemakaian harian menurutku,0,train,negative
buatku packaging rapi dan aman dari pengalaman pertama,2,train,positive
kalau dari pengalamanku kualitasnya lumayan ya,1,train,neutral
buatku harga tidak sebanding dari segi fitur buatku...,0,train,negative
jujur ya fiturnya sangat membantu buat pemakaian harian sih,2,train,positive
review singkat saya tidak puas dari segi fitur buatku,0,train,negative
review singkat pengiriman terlambat buat pemakaian harian bnget,0,train,negative
review singkat pengiriman terlambat,0,train,negative
menurutku fiturnya cukup membantu buat pemakaian harian banget,1,train,neutral
review singkat saya suka hasilnya untuk harga segini sih,2,train,positive
